name,country,url,teams,maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,image_url
WARDELL,Canada,https://www.hltv.org/stats/players/11264/wardell,"Ghost,Bee's Money Crew,Orgless",609,15901,1648,1.17,1.10,11627,https://img-cdn.hltv.org/playerbodyshot/2fUdSWN6AxFJCJ4kZu53oh.png?ixlib=java-2.1.0&w=400&s=22b5e89a22b03c59296a49f747ad6a1d
biguzera,Brazil,https://www.hltv.org/stats/players/18141/biguzera,"paiN,paiN",622,16530,1597,1.15,1.09,12001,https://img-cdn.hltv.org/playerbodyshot/t9zs4p8ogm4_XnJspBgsbr.png?ixlib=java-2.1.0&w=400&s=1b60b6e195aff20eb41d3e1892b69489
Freeman,Hong Kong,https://www.hltv.org/stats/players/10774/freeman,"ViCi,TYLOO",754,19211,2195,1.18,1.12,14570,https://img-cdn.hltv.org/playerbodyshot/JDiRLLJmDGOrfHZ79CwqUr.png?ixlib=java-2.1.0&w=400&s=3d30a575cdd8e330b8b6c0ab4630e3ed
nawwk,Sweden,https://www.hltv.org/stats/players/13670/nawwk,"Apeks,Apeks,GamerLegion,NIP,NIP,x6tence Galaxy",891,23778,2818,1.19,1.10,17474,https://img-cdn.hltv.org/playerbodyshot/vjYgJKIKRnQY70HbosJgEF.png?ixlib=java-2.1.0&w=400&s=cf4918a922f955c7c83b00b26eca5d38
Benkai,Singapore,https://www.hltv.org/stats/players/8944/benkai,"BOOT-d[S],BOOT,dream[S]cape",603,15560,2046,1.20,1.14,12164,https://img-cdn.hltv.org/playerbodyshot/qSZyu2Ljcgo9mkcvNAK0K0.png?ixlib=java-2.1.0&w=400&s=00a083dde5ab021f6b820cd628cb1d75
moose,Canada,https://www.hltv.org/stats/players/12271/moose,"eUnited,Rise Nation",752,19559,1975,1.16,1.10,14503,https://img-cdn.hltv.org/playerbodyshot/dC-U6TCRKZVyfkX-Ylw-bo.png?ixlib=java-2.1.0&w=400&s=38f1a7a451eaa22d5f427d78dd9b962d
XigN,Korea,https://www.hltv.org/stats/players/9172/xign,"NKT,MVP PK,MVP Project",717,18574,2439,1.20,1.15,14568,https://img-cdn.hltv.org/playerbodyshot/MWvHGpZHgQIgeKNUNyWSVD.png?ixlib=java-2.1.0&w=400&s=dc51d98f28015b2fb04e5291974a76be
Farlig,Denmark,https://www.hltv.org/stats/players/13300/farlig,"Astralis,Copenhagen Flames,FunPlus Phoenix,GODSENT",720,19210,1826,1.15,1.09,13882,https://img-cdn.hltv.org/playerbodyshot/Y1qxi0zo88ql7FtsZY_yFX.png?ixlib=java-2.1.0&w=400&s=7d539ca896de34044ad59e10947099ad
kNgV-,Brazil,https://www.hltv.org/stats/players/5736/kngv,"MIBR,MIBR,INTZ",827,21606,2406,1.17,1.12,16548,https://img-cdn.hltv.org/playerbodyshot/0QN4dPlrXj8WkBGaq_KKs_.png?ixlib=java-2.1.0&w=400&s=e39f72579b3b1ce61a5f754f0abf8d6f
mixwell,Spain,https://www.hltv.org/stats/players/8370/mixwell,"OpTic,Movistar Riders",840,21804,1911,1.13,1.09,16275,https://img-cdn.hltv.org/playerbodyshot/TFAU5GadOux7ZMV8XCTQwY.png?ixlib=java-2.1.0&w=400&s=8ff7347bb305f218b9cfed4999e2b6f0
NEOFRAG,Czech Republic,https://www.hltv.org/stats/players/15821/neofrag,SINNERS,676,18080,1535,1.13,1.11,13707,https://img-cdn.hltv.org/playerbodyshot/PQCpp987_P7WxvynPc9zH_.png?ixlib=java-2.1.0&w=400&s=e8a6861bdbf17dc89d821948da06739f
mir,Russia,https://www.hltv.org/stats/players/8789/mir,"Spirit,Spirit,Vega Squadron,Gambit",1001,26240,2600,1.15,1.10,19868,https://img-cdn.hltv.org/playerbodyshot/Kx7DA8F5lpoWVpark7gBOK.png?ixlib=java-2.1.0&w=400&s=4618ab141f173c429765d29316163e75
splashske,Singapore,https://www.hltv.org/stats/players/8943/splashske,"BOOT-d[S],HZ,BOOT,dream[S]cape",722,18651,1811,1.15,1.11,14145,https://img-cdn.hltv.org/playerbodyshot/9umKzdSU3QuKGhYH8t7BBv.png?ixlib=java-2.1.0&w=400&s=76ce0be4b3bbcaa294756792458828ce
mantuu,Poland,https://www.hltv.org/stats/players/10981/mantuu,"OG,ALTERNATE aTTaX,PANTHERS",696,18646,2374,1.21,1.12,13904,https://img-cdn.hltv.org/playerbodyshot/cCle-uOSNbni4wPlZvMDoo.png?ixlib=java-2.1.0&w=400&s=b5017119e07b6cc8de828559146ea5a6
Sonic,South Africa,https://www.hltv.org/stats/players/8711/sonic,"Bravado,Extra Salt,Cloud9",940,24238,2217,1.14,1.09,17758,https://img-cdn.hltv.org/playerbodyshot/YrlM5FoCrwjJlRIpiITCXV.png?ixlib=java-2.1.0&w=400&s=9b45b6f56591162de89cd410912e277d
